agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,contractions_mean,revisions_mean,contract_evals_mean,steps_factor_mean,steps_tabular_mean
Dot,recovery,0.0,50,1.9726480912068058,18.183440771076707,0.0,0.0,1.9726480912068058,18.183440771076707,0.31,0.0,1.6626480912068058,18.183440771076704,0.0,0.0,0.0,0.0,0.0,8.62365950037776,0.0,0.0,0.0,0.0,0.0,0.0
Dot,recovery,0.0,200,1.7157482335277272,18.701414002563745,0.0,0.0,1.7157482335277272,18.701414002563745,0.31,0.0,1.4057482335277274,18.70141400256374,0.0,0.0,0.0,0.0,0.0,8.883119438696419,0.0,0.0,0.0,0.0,0.0,0.0
Dot,recovery,1.0,50,2.2813898360215967,17.46465218922712,301.6708610882017,468.46744066355336,-299.3894712521801,469.3567056705714,0.31,0.0,-299.6994712521801,469.35670567057133,13.39,0.04463333333333334,0.02710454880009194,0.0445883829430975,0.027385050920025647,9.393604885896726,0.0,0.0,0.0,0.0,0.0,0.0
Dot,recovery,1.0,200,-1.1103854308151768,16.83781748447948,314.2299479198852,427.81228028453876,-315.3403333507004,427.25144450340144,0.31,0.0,-315.6503333507004,427.2514445034014,13.74,0.0458,0.02020445439880303,0.04534272928009952,0.020194066521717693,9.223658141022739,0.0,0.0,0.0,0.0,0.0,0.0
HierBayes,recovery,0.0,50,250.82968217676472,75.48090397465016,0.0,0.0,250.82968217676472,75.48090397465016,7.141800000000001,0.03662394205042829,243.68788217676473,75.47697094434903,0.0,0.0,0.0,0.0,0.0,60.80462488155081,0.0,0.0,0.0,0.0,300.0,0.0
HierBayes,recovery,0.0,200,267.18113901543234,69.04159332920294,0.0,0.0,267.18113901543234,69.04159332920294,10.15,0.0,257.03113901543236,69.04159332920293,0.0,0.0,0.0,0.0,0.0,56.125837576934856,0.0,0.0,0.0,0.0,300.0,0.0
HierBayes,recovery,1.0,50,266.22584042946454,77.20480355046615,20697.630229762155,27885.16882400828,-20431.404389332693,27864.595969535945,7.13407,0.05021373609809654,-20438.538459332693,27864.603115841684,34.75,0.11583333333333334,0.11580138478573583,0.11653228158134621,0.11646843371282105,55.370067254068175,0.0,0.0,0.0,0.0,300.0,0.0
HierBayes,recovery,1.0,200,258.95311550475907,64.26408870659593,27845.33424809607,34424.17897891046,-27586.381132591312,34416.18972646676,10.15,0.0,-27596.53113259131,34416.18972646676,19.52,0.06506666666666666,0.05576823935505932,0.06520939210907889,0.05659819291547065,54.32220812186568,0.0,0.0,0.0,0.0,300.0,0.0
LatentFactorEM,recovery,0.0,50,231.59317004748647,142.13200127211454,0.0,0.0,231.59317004748647,142.13200127211454,95.05,0.0,136.54317004748648,142.1320012721145,0.0,0.0,0.0,0.0,0.0,88.37550922916834,0.0,0.0,0.0,0.0,300.0,0.0
LatentFactorEM,recovery,0.0,200,243.78934298221833,147.5670996511892,0.0,0.0,243.78934298221833,147.5670996511892,375.55,0.0,-131.76065701778168,147.5670996511892,0.0,0.0,0.0,0.0,0.0,108.81982271764804,0.0,0.0,0.0,0.0,300.0,0.0
LatentFactorEM,recovery,1.0,50,197.64311627372675,183.2595240664251,21901.530570463015,23679.24796267,-21703.88745418929,23657.379781297885,95.05,0.0,-21798.93745418929,23657.379781297885,30.12,0.10039999999999999,0.26851433968651267,0.101171009131281,0.270550842481879,63.390352211403616,0.0,0.0,0.0,0.0,300.0,0.0
LatentFactorEM,recovery,1.0,200,224.45851685172056,152.81801044707555,21054.55134910942,25405.541750296463,-20830.092832257702,25366.17292385327,375.55,0.0,-21205.6428322577,25366.17292385327,22.41,0.0747,0.23219592669255648,0.07498518449224449,0.23335656446734512,56.45457665693805,0.0,0.0,0.0,0.0,300.0,0.0
Linear,recovery,0.0,50,313.5899482013737,102.7157610594715,0.0,0.0,313.5899482013737,102.7157610594715,16.83997,0.17735090223974742,296.7499782013737,102.75151198163407,0.0,0.0,0.0,0.0,0.0,117.27199776943964,0.0,0.0,0.0,0.0,0.0,0.0
Linear,recovery,0.0,200,301.67788830003207,109.11879869986852,0.0,0.0,301.67788830003207,109.11879869986852,62.83539,0.7636299661167801,238.8424983000321,109.31245794231926,0.0,0.0,0.0,0.0,0.0,94.45714286371532,0.0,0.0,0.0,0.0,0.0,0.0
Linear,recovery,1.0,50,221.9827634797743,150.03235536209047,11462.798548409097,16774.08184354443,-11240.815784929322,16758.709822845725,16.81449,0.15797343434766256,-11257.630274929323,16758.698586653358,45.21,0.1507,0.31333200622972773,0.15141532655127946,0.3144527078636716,41.207708108459904,0.0,0.0,0.0,0.0,0.0,0.0
Linear,recovery,1.0,200,215.88809366356662,134.7268143861202,9579.724493953672,13640.588259287215,-9363.836400290105,13587.546308001238,63.06026,0.7192420058855741,-9426.896660290106,13587.558432244075,44.76,0.1492,0.2933498311858899,0.14712520075207122,0.29141293149872044,36.72857426930029,0.0,0.0,0.0,0.0,0.0,0.0
Network-Full,recovery,0.0,50,197.63310472923172,90.15792219502697,0.0,0.0,197.63310472923172,90.15792219502697,58.33132,55.28005316857797,139.3017847292317,90.37912009041693,0.0,0.0,0.0,0.0,0.0,80.24049234137102,0.77,0.37,1.14,0.53,190.0,110.0
Network-Full,recovery,0.0,200,183.2717660761031,94.15920797915223,0.0,0.0,183.2717660761031,94.15920797915223,71.92635,74.7944417853852,111.3454160761031,102.01713289483826,0.0,0.0,0.0,0.0,0.0,82.15828075602381,0.74,0.38,1.12,0.47,199.71,100.29
Network-Full,recovery,1.0,50,146.29993150462886,113.16190536823879,0.42030481197178154,0.8079596522934351,145.87962669265707,113.07789932621586,56.43421,58.693518730396924,89.44541669265708,111.14973234554131,20.48,0.06826666666666667,0.1196801573667919,0.0645029433957995,0.13631190375878444,0.49531339119120227,0.76,0.34,1.1,0.47,207.63,92.37
Network-Full,recovery,1.0,200,115.92909547615801,91.38738614263562,0.4382672531730818,0.878153952261399,115.49082822298493,91.28639505997046,55.80183,70.02188733431638,59.688998222984935,108.35303196565768,17.0,0.05666666666666667,0.10580141489573469,0.04606357394542896,0.11250138397619003,0.46528963059065354,0.56,0.3,0.86,0.36,226.22,73.78
Network-NoContract,recovery,0.0,50,214.57424408477138,98.33054566304757,0.0,0.0,214.57424408477138,98.33054566304757,34.17326,29.993898474007864,180.40098408477138,95.49629343863278,0.0,0.0,0.0,0.0,0.0,91.8014377817294,0.47,0.0,0.47,0.0,193.74,106.26
Network-NoContract,recovery,0.0,200,195.44353824992214,101.79395731569429,0.0,0.0,195.44353824992214,101.79395731569429,65.82507000000001,48.13485819465237,129.61846824992213,95.92330077813253,0.0,0.0,0.0,0.0,0.0,78.27928538812618,0.61,0.0,0.61,0.0,154.45,145.55
