agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,switches_mean
Dot,structured,0.0,50,-1.5159271345667065,8.18572316528731,0.0,0.0,-1.5159271345667065,8.18572316528731,0.09,0.0,-1.6059271345667063,8.18572316528731,0.0,0.0
Dot,structured,0.0,200,-0.3204588928759759,9.920970724225736,0.0,0.0,-0.3204588928759759,9.920970724225736,0.09,0.0,-0.41045889287597576,9.920970724225736,0.0,0.0
Dot,structured,0.25,50,0.3879640057149404,9.025277032791605,25.438488598827472,34.06809908045684,-25.050524593112527,37.21105610818064,0.09,0.0,-25.14052459311253,37.21105610818064,3.14,0.0
Dot,structured,0.25,200,0.9603789569287363,8.709515598993134,21.6214688784188,28.25734649989585,-20.661089921490067,29.76698351890261,0.09,0.0,-20.751089921490067,29.766983518902613,1.64,0.0
Dot,structured,0.5,50,1.7377976954585908,9.378605719923188,52.26474516941465,67.85438639260927,-50.52694747395607,70.75378436589078,0.09,0.0,-50.61694747395607,70.75378436589078,3.16,0.0
Dot,structured,0.5,200,-1.3237004179313587,9.648062721955444,53.819157749221944,80.81442434937249,-55.1428581671533,81.6680035934568,0.09,0.0,-55.232858167153296,81.6680035934568,2.92,0.0
Dot,structured,0.75,50,0.5983819233548386,10.624559006531014,84.10030095070782,108.05554431622738,-83.501919027353,107.35393838290199,0.09,0.0,-83.591919027353,107.35393838290199,2.96,0.0
Dot,structured,0.75,200,-0.6661904478276449,9.56693903393531,52.65622116751095,79.1077914957888,-53.32241161533859,80.06589587043294,0.09,0.0,-53.412411615338584,80.06589587043294,3.1,0.0
Dot,structured,1.0,50,-2.410918798086098,9.759190173502853,108.13386800094507,119.22587923858158,-110.54478679903117,122.84090230779616,0.09,0.0,-110.63478679903118,122.84090230779616,2.86,0.0
Dot,structured,1.0,200,0.04148661626720922,9.148139200368798,81.4375088886775,126.4840676288703,-81.39602227241029,128.06326722366725,0.09,0.0,-81.4860222724103,128.06326722366725,3.16,0.0
Linear,structured,0.0,50,84.1274491898754,30.396536347739374,0.0,0.0,84.1274491898754,30.396536347739374,5.07268,0.10773634484239744,79.0547691898754,30.38318994879499,0.0,0.0
Linear,structured,0.0,200,79.17424977355905,29.865529365717915,0.0,0.0,79.17424977355905,29.865529365717915,19.1065,0.5501497847989087,60.06774977355905,29.95533899751538,0.0,0.0
Linear,structured,0.25,50,81.07135829566627,34.25059550035898,666.6010897103449,820.0164192036596,-585.5297314146786,814.0776784455693,5.0697399999999995,0.1037370714836311,-590.5994714146785,814.0667128589415,10.4,0.0
Linear,structured,0.25,200,66.59695743341362,39.98480110982018,795.5243797394462,1155.9840317735495,-728.9274223060326,1143.6373709974757,19.07068,0.5474843932171284,-747.9981023060325,1143.7574111797821,4.7,0.0
Linear,structured,0.5,50,74.22113941107911,38.74743107372764,1269.2436239289616,1648.2288612846555,-1195.0224845178825,1627.5306517690194,5.1011,0.12294917649175224,-1200.1235845178826,1627.5270660716744,11.04,0.0
Linear,structured,0.5,200,67.35808367831322,46.71432856626525,928.7504836629232,1302.2922694536303,-861.3923999846099,1287.4540927541434,19.13436,0.5129131986874136,-880.52675998461,1287.4132326922247,9.48,0.0
Linear,structured,0.75,50,64.48654583578099,41.461475751001174,912.2840140496936,1384.287891643385,-847.7974682139127,1373.5904860859687,5.08934,0.10961651335451243,-852.8868082139128,1373.5696396698843,7.28,0.0
Linear,structured,0.75,200,56.456166970999575,50.46064152806576,767.4243304606055,1133.7312551990553,-710.9681634896058,1119.607990823091,19.22192,0.45100295668518153,-730.1900834896059,1119.5382136515732,5.82,0.0
Linear,structured,1.0,50,66.08274445688583,42.74509641394131,1368.3423637267306,1352.1855432711307,-1302.2596192698447,1344.4738601497506,5.07464,0.12551685145828018,-1307.3342592698448,1344.4557077037512,6.92,0.0
Linear,structured,1.0,200,68.41567578960898,44.755646596853,1092.809158630095,1370.7591192067773,-1024.393482840486,1357.234762669533,19.05874,0.43452027547160316,-1043.4522228404862,1357.2718638637034,8.72,0.0
Network-Full,structured,0.0,50,78.49644329548747,34.113567944121336,0.0,0.0,78.49644329548747,34.113567944121336,1.7531199999999998,0.021776827227161236,76.74332329548747,34.116173018945084,0.0,0.0
Network-Full,structured,0.0,200,83.42342901585516,31.593713566939606,0.0,0.0,83.42342901585516,31.593713566939606,1.75222,0.020738694977933268,81.67120901585515,31.59107516948973,0.0,0.0
Network-Full,structured,0.25,50,77.63632530157936,30.62641250320865,1.496502295318565,4.306120445784396,76.1398230062608,30.47719725394925,1.74474,0.0360265265081842,74.39508300626079,30.47506783016819,18.88,0.0
Network-Full,structured,0.25,200,57.45227820126319,30.993079547165152,1.014347507489903,1.3181997154885514,56.43793069377329,30.69967324090427,1.7453800000000002,0.022614687299024314,54.692550693773285,30.701533180876467,6.16,0.0
