seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,switches
0,Dot,50,5,80,0.0,structured,-12.00839320837826,0.0,-12.00839320837826,0.09,-12.09839320837826,0.0,0.0
0,Linear,50,5,80,0.0,structured,85.45764977106235,0.0,85.45764977106235,5.106,80.35164977106236,0.0,0.0
0,Network-Full,50,5,80,0.0,structured,84.72031302671367,0.0,84.72031302671367,1.756,82.96431302671367,0.0,0.0
0,Network-NoTest,50,5,80,0.0,structured,81.88800387425125,0.0,81.88800387425125,1.738,80.15000387425125,0.0,0.0
0,Network-NoUpdate,50,5,80,0.0,structured,88.67990040156987,0.0,88.67990040156987,1.738,86.94190040156987,0.0,0.0
0,Dot,50,5,80,0.25,structured,21.13968384189482,11.315498995161214,9.824184846733605,0.09,9.734184846733605,11.0,0.0
0,Linear,50,5,80,0.25,structured,96.24813116923191,744.4519442992344,-648.2038131300025,5.057,-653.2608131300025,43.0,0.0
0,Network-Full,50,5,80,0.25,structured,101.79342409675627,5.609237214367404,96.18418688238887,1.765,94.41918688238887,47.0,0.0
0,Network-NoTest,50,5,80,0.25,structured,109.4255027958686,3.061093744978854,106.36440905088975,1.81,104.55440905088975,52.0,0.0
0,Network-NoUpdate,50,5,80,0.25,structured,90.38856001883062,0.27198694264590995,90.11657307618471,1.72,88.39657307618471,50.0,0.0
0,Dot,50,5,80,0.5,structured,9.49979736010603,110.35655346435352,-100.8567561042475,0.09,-100.9467561042475,0.0,0.0
0,Linear,50,5,80,0.5,structured,63.33839988001979,3.603069596588659,59.73533028343113,5.008,54.72733028343113,0.0,0.0
0,Network-Full,50,5,80,0.5,structured,128.41396148187022,0.11772622320152451,128.2962352586687,1.756,126.5402352586687,27.0,0.0
0,Network-NoTest,50,5,80,0.5,structured,38.15167373578514,0.004215826262027418,38.14745790952311,1.783,36.36445790952311,0.0,0.0
0,Network-NoUpdate,50,5,80,0.5,structured,124.55826603443948,0.1160475811626156,124.44221845327687,1.7469999999999999,122.69521845327687,29.0,0.0
0,Dot,50,5,80,0.75,structured,-1.8229454452304958,11.009847495938047,-12.832792941168542,0.09,-12.922792941168542,5.0,0.0
0,Linear,50,5,80,0.75,structured,56.14859344940844,551.8124094618188,-495.66381601241034,5.106,-500.76981601241033,0.0,0.0
0,Network-Full,50,5,80,0.75,structured,49.74949414548039,0.12648217680819956,49.62301196867219,1.738,47.88501196867219,1.0,0.0
0,Network-NoTest,50,5,80,0.75,structured,56.88457717872299,0.1487235555432798,56.735853623179715,1.7469999999999999,54.988853623179715,2.0,0.0
0,Network-NoUpdate,50,5,80,0.75,structured,54.309490693765696,1.5595164909685897,52.749974202797105,1.765,50.984974202797105,10.0,0.0
0,Dot,50,5,80,1.0,structured,4.428238693090517,4.7729074515448096,-0.3446687584542927,0.09,-0.43466875845429265,1.0,0.0
0,Linear,50,5,80,1.0,structured,121.7130090661281,2526.094151362997,-2404.381142296869,5.057,-2409.4381422968686,0.0,0.0
0,Network-Full,50,5,80,1.0,structured,95.49707369480839,0.349302642959974,95.14777105184842,1.72,93.42777105184842,18.0,0.0
0,Network-NoTest,50,5,80,1.0,structured,91.60021320899762,0.002594558447200024,91.59761865055042,1.738,89.85961865055042,12.0,0.0
0,Network-NoUpdate,50,5,80,1.0,structured,115.82714865437876,0.018507965907731738,115.80864068847103,1.783,114.02564068847103,24.0,0.0
0,Dot,200,5,80,0.0,structured,-23.15748811531224,0.0,-23.15748811531224,0.09,-23.24748811531224,0.0,0.0
0,Linear,200,5,80,0.0,structured,57.87993631885376,0.0,57.87993631885376,19.006999999999998,38.87293631885376,0.0,0.0
0,Network-Full,200,5,80,0.0,structured,61.99445679745511,0.0,61.99445679745511,1.783,60.21145679745511,0.0,0.0
0,Network-NoTest,200,5,80,0.0,structured,51.07361258094631,0.0,51.07361258094631,1.738,49.33561258094631,0.0,0.0
0,Network-NoUpdate,200,5,80,0.0,structured,58.24691343937782,0.0,58.24691343937782,1.738,56.50891343937782,0.0,0.0
0,Dot,200,5,80,0.25,structured,9.593604189386273,9.449264472665176,0.14433971672109713,0.09,0.05433971672109714,0.0,0.0
0,Linear,200,5,80,0.25,structured,61.67207940743359,528.4923058006962,-466.82022639326254,19.006999999999998,-485.82722639326255,0.0,0.0
0,Network-Full,200,5,80,0.25,structured,41.46828902254704,0.004809683012577309,41.463479339534466,1.738,39.725479339534466,0.0,0.0
0,Network-NoTest,200,5,80,0.25,structured,41.803519030729234,0.509872959226011,41.293646071503225,1.756,39.537646071503225,5.0,0.0
0,Network-NoUpdate,200,5,80,0.25,structured,38.488726854324284,0.15588484575429074,38.33284200856999,1.765,36.56784200856999,1.0,0.0
0,Dot,200,5,80,0.5,structured,16.34026163452795,235.31554361372255,-218.97528197919462,0.09,-219.06528197919462,0.0,0.0
0,Linear,200,5,80,0.5,structured,139.9115113721785,2560.118175970353,-2420.2066645981745,19.206,-2439.4126645981746,0.0,0.0
0,Network-Full,200,5,80,0.5,structured,69.11556398445606,0.02268298944226954,69.09288099501379,1.729,67.36388099501379,7.0,0.0
0,Network-NoTest,200,5,80,0.5,structured,63.83009389658701,0.16332835423053682,63.66676554235647,1.7469999999999999,61.91976554235647,4.0,0.0
0,Network-NoUpdate,200,5,80,0.5,structured,86.76159081722096,0.3219641006166585,86.43962671660431,1.774,84.66562671660431,8.0,0.0
0,Dot,200,5,80,0.75,structured,-4.241169190472407,249.22577414441247,-253.4669433348849,0.09,-253.5569433348849,1.0,0.0
0,Linear,200,5,80,0.75,structured,93.34668438949814,142.08922959866092,-48.742545209162785,19.405,-68.14754520916279,0.0,0.0
0,Network-Full,200,5,80,0.75,structured,71.35419042736508,0.01369818973423734,71.34049223763084,1.756,69.58449223763084,8.0,0.0
0,Network-NoTest,200,5,80,0.75,structured,75.71454961057998,0.2851543484186902,75.4293952621613,1.765,73.66439526216129,3.0,0.0
0,Network-NoUpdate,200,5,80,0.75,structured,80.58337449091736,0.0031774819616475214,80.58019700895572,1.783,78.79719700895572,9.0,0.0
0,Dot,200,5,80,1.0,structured,-2.7409930055544565,94.52936277787131,-97.27035578342577,0.09,-97.36035578342577,10.0,0.0
0,Linear,200,5,80,1.0,structured,67.93830344173168,276.6955339441587,-208.757230502427,20.002,-228.75923050242702,0.0,0.0
0,Network-Full,200,5,80,1.0,structured,77.21973217446138,0.03516128786133885,77.18457088660004,1.756,75.42857088660004,18.0,0.0
0,Network-NoTest,200,5,80,1.0,structured,77.58510437491785,0.1664065432670914,77.41869783165076,1.729,75.68969783165076,27.0,0.0
0,Network-NoUpdate,200,5,80,1.0,structured,79.60286759964289,0.009688213064604656,79.59317938657829,1.756,77.83717938657828,16.0,0.0
1,Dot,50,5,80,0.0,structured,-14.767732888672276,0.0,-14.767732888672276,0.09,-14.857732888672276,0.0,0.0
1,Linear,50,5,80,0.0,structured,59.02927309970969,0.0,59.02927309970969,4.861000000000001,54.168273099709694,0.0,0.0
1,Network-Full,50,5,80,0.0,structured,54.66407901019731,0.0,54.66407901019731,1.684,52.980079010197315,0.0,0.0
1,Network-NoTest,50,5,80,0.0,structured,57.810559324621124,0.0,57.810559324621124,1.7469999999999999,56.063559324621124,0.0,0.0
1,Network-NoUpdate,50,5,80,0.0,structured,59.720325275153996,0.0,59.720325275153996,1.729,57.991325275154,0.0,0.0
1,Dot,50,5,80,0.25,structured,-1.4075670103506772,2.0301205486269187,-3.437687558977596,0.09,-3.527687558977596,1.0,0.0
1,Linear,50,5,80,0.25,structured,100.6826212517828,2677.9519417353017,-2577.269320483519,4.959,-2582.228320483519,0.0,0.0
1,Network-Full,50,5,80,0.25,structured,49.11518363887743,3.1201052423094495,45.99507839656798,1.756,44.23907839656798,8.0,0.0
1,Network-NoTest,50,5,80,0.25,structured,12.008883742867141,0.41215937225983673,11.596724370607305,1.729,9.867724370607306,0.0,0.0
1,Network-NoUpdate,50,5,80,0.25,structured,71.51371305653797,0.01057705777826401,71.5031359987597,1.738,69.7651359987597,15.0,0.0
1,Dot,50,5,80,0.5,structured,7.09187449789492,0.101616526556078,6.990257971338842,0.09,6.900257971338842,3.0,0.0
1,Linear,50,5,80,0.5,structured,155.52039815427744,4513.171760874531,-4357.651362720254,5.155,-4362.806362720254,0.0,0.0
1,Network-Full,50,5,80,0.5,structured,126.25765611985284,0.17684788138124943,126.08080823847159,1.756,124.32480823847159,27.0,0.0
1,Network-NoTest,50,5,80,0.5,structured,99.47033950818137,0.2799994006112142,99.19034010757015,1.756,97.43434010757015,19.0,0.0
1,Network-NoUpdate,50,5,80,0.5,structured,132.2277662468625,1.9918744733104417,130.23589177355205,1.7469999999999999,128.48889177355204,30.0,0.0
1,Dot,50,5,80,0.75,structured,-8.90941350955901,15.414173759718292,-24.323587269277304,0.09,-24.413587269277304,1.0,0.0
1,Linear,50,5,80,0.75,structured,15.147810692218451,0.6484095211752504,14.499401171043202,5.106,9.393401171043202,0.0,0.0
1,Network-Full,50,5,80,0.75,structured,13.646666712542176,6.748076292996525,6.898590419545651,1.765,5.133590419545651,0.0,0.0
1,Network-NoTest,50,5,80,0.75,structured,66.758150359016,0.9399753591693158,65.81817499984669,1.702,64.11617499984669,5.0,0.0
1,Network-NoUpdate,50,5,80,0.75,structured,56.66384551823035,0.904784761407199,55.75906075682315,1.756,54.00306075682315,0.0,0.0
1,Dot,50,5,80,1.0,structured,-2.1221870423802347,5.665016115130785,-7.78720315751102,0.09,-7.87720315751102,4.0,0.0
1,Linear,50,5,80,1.0,structured,92.89624799886909,18.884772112965642,74.01147588590345,4.959,69.05247588590345,0.0,0.0
1,Network-Full,50,5,80,1.0,structured,86.76987525433398,0.2964713556064135,86.47340389872757,1.756,84.71740389872757,9.0,0.0
1,Network-NoTest,50,5,80,1.0,structured,91.17112695898767,4.005692916934537e-09,91.17112695498197,1.774,89.39712695498197,8.0,0.0
1,Network-NoUpdate,50,5,80,1.0,structured,90.05949762750946,0.0014748514144933978,90.05802277609496,1.738,88.32002277609496,12.0,0.0
1,Dot,200,5,80,0.0,structured,-10.51635184574047,0.0,-10.51635184574047,0.09,-10.60635184574047,0.0,0.0
1,Linear,200,5,80,0.0,structured,56.512387621853776,0.0,56.512387621853776,19.803,36.70938762185378,0.0,0.0
1,Network-Full,200,5,80,0.0,structured,46.37388121680465,0.0,46.37388121680465,1.729,44.64488121680465,0.0,0.0
1,Network-NoTest,200,5,80,0.0,structured,77.76369649004235,0.0,77.76369649004235,1.729,76.03469649004235,0.0,0.0
1,Network-NoUpdate,200,5,80,0.0,structured,82.69113158300009,0.0,82.69113158300009,1.738,80.95313158300009,0.0,0.0
1,Dot,200,5,80,0.25,structured,10.16655223797855,46.585249875915636,-36.418697637937086,0.09,-36.50869763793709,0.0,0.0
1,Linear,200,5,80,0.25,structured,73.90010296179335,370.8100805475715,-296.90997758577817,18.808,-315.71797758577816,0.0,0.0
1,Network-Full,200,5,80,0.25,structured,84.48711517053067,0.732575555959575,83.7545396145711,1.765,81.9895396145711,13.0,0.0
1,Network-NoTest,200,5,80,0.25,structured,76.36497366636112,2.966654733851208,73.39831893250991,1.765,71.63331893250991,7.0,0.0
1,Network-NoUpdate,200,5,80,0.25,structured,82.59959150128653,1.7450149687462417,80.85457653254028,1.756,79.09857653254028,8.0,0.0
1,Dot,200,5,80,0.5,structured,19.541336453206608,3.0666916863065863,16.47464476690002,0.09,16.38464476690002,1.0,0.0
1,Linear,200,5,80,0.5,structured,147.96469825154105,627.6011601197287,-479.6364618681876,19.206,-498.8424618681876,0.0,0.0
1,Network-Full,200,5,80,0.5,structured,89.68271519156727,3.5425746241499807,86.14014056741729,1.738,84.40214056741729,8.0,0.0
1,Network-NoTest,200,5,80,0.5,structured,101.85015207782011,3.5968424120795195,98.25330966574059,1.765,96.48830966574059,7.0,0.0
1,Network-NoUpdate,200,5,80,0.5,structured,93.8106843336772,2.4430103179109066,91.3676740157663,1.711,89.6566740157663,6.0,0.0
1,Dot,200,5,80,0.75,structured,5.024385289168896,0.41387201584432376,4.610513273324572,0.09,4.520513273324572,1.0,0.0
1,Linear,200,5,80,0.75,structured,-53.307806932231514,648.569075317329,-701.8768822495605,19.405,-721.2818822495605,0.0,0.0
1,Network-Full,200,5,80,0.75,structured,55.34274255503378,0.0034839237005305224,55.33925863133325,1.738,53.60125863133325,5.0,0.0
1,Network-NoTest,200,5,80,0.75,structured,54.192769497700404,0.3358480200367293,53.856921477663676,1.774,52.082921477663675,3.0,0.0
1,Network-NoUpdate,200,5,80,0.75,structured,60.894128402324796,0.06370472626989546,60.8304236760549,1.774,59.0564236760549,0.0,0.0
1,Dot,200,5,80,1.0,structured,-0.4533630702124407,197.68906882056032,-198.14243189077277,0.09,-198.23243189077277,11.0,0.0
1,Linear,200,5,80,1.0,structured,121.05037935295708,726.956884684594,-605.9065053316369,19.405,-625.3115053316369,0.0,0.0
1,Network-Full,200,5,80,1.0,structured,83.19270705449559,0.2626226966537791,82.9300843578418,1.783,81.1470843578418,18.0,0.0
1,Network-NoTest,200,5,80,1.0,structured,75.11427006602034,0.014080945770068687,75.10018912025026,1.765,73.33518912025026,20.0,0.0
1,Network-NoUpdate,200,5,80,1.0,structured,85.18060094738216,0.44990996761346486,84.7306909797687,1.756,82.9746909797687,21.0,0.0
2,Dot,50,5,80,0.0,structured,-13.836074884806013,0.0,-13.836074884806013,0.09,-13.926074884806013,0.0,0.0
2,Linear,50,5,80,0.0,structured,105.80306933269156,0.0,105.80306933269156,5.106,100.69706933269157,0.0,0.0
2,Network-Full,50,5,80,0.0,structured,99.20094618739702,0.0,99.20094618739702,1.738,97.46294618739702,0.0,0.0
2,Network-NoTest,50,5,80,0.0,structured,108.30723619548132,0.0,108.30723619548132,1.765,106.54223619548132,0.0,0.0
2,Network-NoUpdate,50,5,80,0.0,structured,90.50491651532295,0.0,90.50491651532295,1.738,88.76691651532295,0.0,0.0
2,Dot,50,5,80,0.25,structured,-12.893469622473036,37.1935858190916,-50.08705544156464,0.09,-50.17705544156464,5.0,0.0
2,Linear,50,5,80,0.25,structured,84.50837490142554,1076.7232284333973,-992.2148535319717,5.057,-997.2718535319717,71.0,0.0
2,Network-Full,50,5,80,0.25,structured,38.36313381569912,0.5924149605422313,37.77071885515689,1.783,35.98771885515689,24.0,0.0
2,Network-NoTest,50,5,80,0.25,structured,65.02859935531772,0.04588256415545011,64.98271679116228,1.7469999999999999,63.235716791162275,17.0,0.0
2,Network-NoUpdate,50,5,80,0.25,structured,71.40491428233292,0.08590229661403492,71.31901198571889,1.765,69.55401198571889,17.0,0.0
2,Dot,50,5,80,0.5,structured,2.2540766645233488,40.5855520795401,-38.331475415016754,0.09,-38.42147541501676,4.0,0.0
2,Linear,50,5,80,0.5,structured,71.58347945652784,767.7001562725245,-696.1166768159967,5.155,-701.2716768159967,71.0,0.0
2,Network-Full,50,5,80,0.5,structured,63.04351013643558,0.09848323342885382,62.94502690300673,1.729,61.21602690300673,7.0,0.0
2,Network-NoTest,50,5,80,0.5,structured,63.589536349887815,1.0047079550990567,62.58482839478876,1.765,60.81982839478876,2.0,0.0
2,Network-NoUpdate,50,5,80,0.5,structured,62.333843557558005,0.09220355034293037,62.241640007215075,1.774,60.467640007215074,4.0,0.0
2,Dot,50,5,80,0.75,structured,-4.7486208567022405,0.006603679875469837,-4.75522453657771,0.09,-4.84522453657771,7.0,0.0
2,Linear,50,5,80,0.75,structured,90.69128155370711,179.49209219181182,-88.8008106381047,5.155,-93.95581063810471,75.0,0.0
2,Network-Full,50,5,80,0.75,structured,88.40560485225178,0.0017596762754091833,88.40384517597637,1.774,86.62984517597637,41.0,0.0
2,Network-NoTest,50,5,80,0.75,structured,89.54952501361824,0.020461689517427335,89.5290633241008,1.774,87.7550633241008,33.0,0.0
2,Network-NoUpdate,50,5,80,0.75,structured,78.33263391828979,0.2530530417296579,78.07958087656013,1.72,76.35958087656013,35.0,0.0
2,Dot,50,5,80,1.0,structured,-5.108529584153182,82.97170492812386,-88.08023451227703,0.09,-88.17023451227703,6.0,0.0
2,Linear,50,5,80,1.0,structured,41.24765662343638,1204.4535014776036,-1163.2058448541673,5.155,-1168.3608448541672,8.0,0.0
2,Network-Full,50,5,80,1.0,structured,41.882696730158145,0.0005913050649596352,41.88210542509319,1.7469999999999999,40.13510542509319,1.0,0.0
2,Network-NoTest,50,5,80,1.0,structured,35.10834126058509,0.3831022814889967,34.7252389790961,1.702,33.0232389790961,0.0,0.0
2,Network-NoUpdate,50,5,80,1.0,structured,39.85285287383869,0.025066965368517324,39.827785908470176,1.765,38.062785908470175,7.0,0.0
2,Dot,200,5,80,0.0,structured,-9.938212618350938,0.0,-9.938212618350938,0.09,-10.028212618350938,0.0,0.0
2,Linear,200,5,80,0.0,structured,87.53505707936031,0.0,87.53505707936031,19.405,68.13005707936031,0.0,0.0
2,Network-Full,200,5,80,0.0,structured,90.7760729776754,0.0,90.7760729776754,1.765,89.0110729776754,0.0,0.0
2,Network-NoTest,200,5,80,0.0,structured,98.3980671550755,0.0,98.3980671550755,1.756,96.6420671550755,0.0,0.0
2,Network-NoUpdate,200,5,80,0.0,structured,53.67437796623038,0.0,53.67437796623038,1.756,51.91837796623038,0.0,0.0
2,Dot,200,5,80,0.25,structured,-3.201906548641442,6.4922277656847465,-9.694134314326188,0.09,-9.784134314326188,1.0,0.0
2,Linear,200,5,80,0.25,structured,20.70863792295486,291.65537122424416,-270.9467333012893,19.206,-290.15273330128935,0.0,0.0
2,Network-Full,200,5,80,0.25,structured,44.44496011828386,0.45502096604494136,43.98993915223892,1.729,42.26093915223892,4.0,0.0
2,Network-NoTest,200,5,80,0.25,structured,53.90885501080588,0.0020838104535296775,53.90677120035235,1.738,52.16877120035235,6.0,0.0
2,Network-NoUpdate,200,5,80,0.25,structured,47.5741114581278,0.0614439612484602,47.512667496879345,1.72,45.792667496879346,1.0,0.0
2,Dot,200,5,80,0.5,structured,-3.059397772632739,43.12829730833342,-46.187695080966165,0.09,-46.27769508096617,0.0,0.0
2,Linear,200,5,80,0.5,structured,28.701211162361993,115.75656428271961,-87.05535312035761,19.405,-106.46035312035761,0.0,0.0
2,Network-Full,200,5,80,0.5,structured,35.39122151243187,1.63970815022872,33.75151336220315,1.756,31.99551336220315,0.0,0.0
2,Network-NoTest,200,5,80,0.5,structured,36.34717991043488,1.629458791715943e-07,36.347179747489,1.756,34.591179747489,0.0,0.0
2,Network-NoUpdate,200,5,80,0.5,structured,36.221610337174546,0.004290417318582786,36.21731991985596,1.756,34.46131991985596,0.0,0.0
2,Dot,200,5,80,0.75,structured,-0.24547082927276065,191.96244709762226,-192.20791792689502,0.09,-192.29791792689502,0.0,0.0
2,Linear,200,5,80,0.75,structured,56.738970560290994,87.86965725715382,-31.130686696862824,19.206,-50.33668669686283,0.0,0.0
